iter	Passed	Remaining
0	27	27503
1	60	30263
2	92	30778
3	123	30787
4	154	30841
5	185	30726
6	213	30354
7	243	30227
8	272	30059
9	304	30186
10	334	30069
11	363	29898
12	393	29853
13	424	29890
14	452	29725
15	472	29040
16	500	28939
17	531	28995
18	560	28963
19	594	29126
20	621	28966
21	648	28845
22	676	28728
23	705	28703
24	734	28652
25	762	28579
26	791	28512
27	819	28431
28	848	28421
29	879	28438
30	909	28419
31	937	28351
32	965	28279
33	994	28260
34	1025	28261
35	1052	28175
36	1081	28146
37	1109	28094
38	1137	28021
39	1167	28020
40	1198	28037
41	1227	28008
42	1258	28009
43	1303	28311
44	1330	28236
45	1357	28156
46	1386	28120
47	1417	28107
48	1447	28093
49	1477	28071
50	1507	28056
51	1532	27942
52	1591	28441
53	1620	28396
54	1635	28104
55	1662	28030
56	1693	28013
57	1722	27982
58	1752	27943
59	1782	27929
60	1813	27912
61	1844	27898
62	1873	27869
63	1905	27866
64	1934	27830
65	1965	27809
66	1993	27765
67	2023	27735
68	2051	27678
69	2080	27640
70	2108	27585
71	2138	27558
72	2168	27533
73	2197	27494
74	2226	27465
75	2256	27432
76	2270	27219
77	2298	27167
78	2329	27162
79	2359	27137
80	2389	27114
81	2422	27119
82	2452	27100
83	2482	27072
84	2513	27052
85	2542	27021
86	2572	26996
87	2601	26964
88	2629	26920
89	2657	26871
90	2686	26838
91	2721	26856
92	2754	26864
93	2785	26851
94	2818	26852
95	2850	26846
96	2882	26838
97	2914	26825
98	2948	26835
99	2980	26825
100	3014	26832
101	3044	26807
102	3077	26802
103	3109	26790
104	3141	26774
105	3173	26761
106	3204	26742
107	3236	26732
108	3267	26709
109	3295	26664
110	3324	26627
111	3354	26598
112	3383	26559
113	3413	26526
114	3442	26488
115	3474	26478
116	3502	26436
117	3533	26414
118	3561	26370
119	3591	26336
120	3623	26322
121	3655	26304
122	3690	26314
123	3726	26329
124	3765	26356
125	3801	26369
126	3840	26397
127	3875	26401
128	3906	26375
129	3938	26359
130	3968	26328
131	4000	26306
132	4030	26276
133	4060	26241
134	4090	26210
135	4120	26177
136	4150	26144
137	4180	26109
138	4213	26099
139	4243	26067
140	4274	26038
141	4303	26001
142	4334	25973
143	4364	25946
144	4395	25917
145	4425	25887
146	4457	25863
147	4487	25831
148	4517	25802
149	4547	25768
150	4575	25726
151	4603	25683
152	4634	25658
153	4666	25634
154	4695	25597
155	4727	25574
156	4757	25545
157	4788	25520
158	4819	25493
159	4849	25459
160	4880	25434
161	4915	25425
162	4947	25405
163	4982	25397
164	5014	25375
165	5046	25351
166	5076	25323
167	5107	25293
168	5140	25278
169	5179	25286
170	5213	25274
171	5245	25251
172	5276	25222
173	5307	25195
174	5339	25174
175	5371	25147
176	5402	25119
177	5432	25088
178	5463	25057
179	5495	25033
180	5527	25009
181	5559	24985
182	5591	24962
183	5622	24934
184	5653	24904
185	5686	24885
186	5717	24855
187	5747	24825
188	5778	24795
189	5811	24775
190	5841	24740
191	5871	24708
192	5899	24669
193	5929	24636
194	5959	24601
195	5990	24572
196	6020	24539
197	6050	24505
198	6080	24476
199	6110	24441
200	6140	24410
201	6170	24378
202	6205	24364
203	6240	24350
204	6272	24326
205	6304	24298
206	6335	24270
207	6367	24246
208	6397	24212
209	6426	24177
210	6456	24141
211	6487	24113
212	6517	24080
213	6547	24048
214	6576	24013
215	6606	23979
216	6635	23943
217	6664	23905
218	6693	23872
219	6724	23841
220	6755	23810
221	6784	23775
222	6812	23736
223	6843	23706
