Category,Rating,Reviews,Size,Installs,Content Rating,Current Ver,Android Ver,Main_Genre,Days_Since_Last_Update
ART_AND_DESIGN,4.1,159,19000.0,10000,Everyone,1.0.0,4.0.3 and up,Art & Design,2095
ART_AND_DESIGN,3.9,967,14000.0,500000,Everyone,2.0.0,4.0.3 and up,Art & Design,2087
ART_AND_DESIGN,4.7,87510,8700.0,5000000,Everyone,1.2.4,4.0.3 and up,Art & Design,1889
ART_AND_DESIGN,4.5,215644,25000.0,50000000,Teen,Varies with device,4.2 and up,Art & Design,1943
ART_AND_DESIGN,4.3,967,2800.0,100000,Everyone,1.1,4.4 and up,Art & Design,1931
ART_AND_DESIGN,4.4,167,5600.0,50000,Everyone,1.0,2.3 and up,Art & Design,2382
ART_AND_DESIGN,3.8,178,19000.0,50000,Everyone,1.1,4.0.3 and up,Art & Design,1986
ART_AND_DESIGN,4.1,36815,29000.0,1000000,Everyone,6.1.61.1,4.2 and up,Art & Design,1937
ART_AND_DESIGN,4.4,13791,33000.0,1000000,Everyone,2.9.2,3.0 and up,Art & Design,2204
ART_AND_DESIGN,4.7,121,3100.0,10000,Everyone,2.8,4.0.3 and up,Art & Design,1918
ART_AND_DESIGN,4.4,13880,28000.0,1000000,Everyone,1.0.4,4.1 and up,Art & Design,2167
ART_AND_DESIGN,4.4,8788,12000.0,1000000,Everyone,1.0.15,4.0 and up,Art & Design,1890
ART_AND_DESIGN,4.2,44829,20000.0,10000000,Teen,3.8,4.1 and up,Art & Design,2010
ART_AND_DESIGN,4.6,4326,21000.0,100000,Everyone,1.0.4,4.4 and up,Art & Design,1925
ART_AND_DESIGN,4.4,1518,37000.0,100000,Everyone,1.2.3,2.3 and up,Art & Design,1887
ART_AND_DESIGN,4.7,3632,5500.0,500000,Everyone,3.1,4.1 and up,Art & Design,1890
ART_AND_DESIGN,4.5,27,17000.0,10000,Everyone,1.0,2.3 and up,Art & Design,2156
ART_AND_DESIGN,4.3,194216,39000.0,5000000,Everyone,2.2.5,4.0.3 and up,Art & Design,1887
ART_AND_DESIGN,4.6,224399,31000.0,10000000,Everyone,5.5.4,4.1 and up,Art & Design,1891
ART_AND_DESIGN,4.0,450,14000.0,100000,Everyone,4.0,4.1 and up,Art & Design,1992
ART_AND_DESIGN,4.1,654,12000.0,100000,Everyone,1.1,4.0.3 and up,Art & Design,2023
ART_AND_DESIGN,4.7,7699,4200.0,500000,Everyone 10+,2.2.6.2,4.0.3 and up,Art & Design,1909
ART_AND_DESIGN,4.7,118,23000.0,50000,Everyone,1.1.3,4.1 and up,Art & Design,1914
ART_AND_DESIGN,4.8,192,6000.0,10000,Everyone,1.5,3.0 and up,Art & Design,1987
ART_AND_DESIGN,4.7,20260,25000.0,500000,Everyone,1.0.8,4.0.3 and up,Art & Design,2183
ART_AND_DESIGN,4.1,203,6100.0,100000,Everyone,1.03,4.0.3 and up,Art & Design,2022
