iter	RMSE
0	0.5142449554
1	0.5105055672
2	0.5069355611
3	0.5036414554
4	0.5007121747
5	0.4983669986
6	0.4961494772
7	0.4943226124
8	0.4928248375
9	0.4915071737
10	0.4900527009
11	0.4882482888
12	0.4873675231
13	0.4863579543
14	0.4850581438
15	0.4840153765
16	0.4834221169
17	0.4827802091
18	0.4815919522
19	0.4806211308
20	0.4793799895
21	0.4782614371
22	0.477189473
23	0.4762016803
24	0.4754215841
25	0.4748048083
26	0.4743542748
27	0.4733958406
28	0.4726153419
29	0.4718822452
30	0.4709940091
31	0.4705287756
32	0.4693189351
33	0.4689050401
34	0.4683437062
35	0.4677078494
36	0.4666972894
37	0.4663449052
38	0.4655926804
39	0.4652854994
40	0.4642562637
41	0.4635768663
42	0.4631806149
43	0.4626808451
44	0.4619185113
45	0.461472784
46	0.460774377
47	0.4603126086
48	0.4596149793
49	0.4588410268
50	0.4580692051
51	0.4571998977
52	0.4566021458
53	0.4562206046
54	0.4552948596
55	0.4548789441
56	0.4543986737
57	0.4541316336
58	0.4537906623
59	0.4530193949
60	0.4526024827
61	0.4523261882
62	0.45194042
63	0.4512748961
64	0.4507628253
65	0.4501914755
66	0.4495911142
67	0.4492821231
68	0.4489734392
69	0.4485295039
70	0.4481037139
71	0.4476094198
72	0.4468785934
73	0.4465632766
74	0.4460627422
75	0.4451738202
76	0.4442678231
77	0.4440749014
78	0.4433723189
79	0.4428946079
80	0.4425494119
81	0.4421661609
82	0.4418234981
83	0.4412662437
84	0.4408127329
85	0.4403217193
86	0.4398068411
87	0.439486926
88	0.4390346351
89	0.4385990775
90	0.4381242506
91	0.4378317322
92	0.4370497764
93	0.4365028581
94	0.4358599749
95	0.4354176178
96	0.435075205
97	0.4343158788
98	0.4335662342
99	0.4330945276
100	0.4328076382
101	0.4324128496
102	0.4318833629
103	0.4311188993
104	0.4307686724
105	0.4302652959
106	0.4297706999
107	0.4293544176
108	0.4287913829
109	0.4283930823
110	0.4279855053
111	0.4275218507
112	0.4268249399
113	0.4264056789
114	0.4260522324
115	0.4256258871
116	0.4250910441
117	0.4247923063
118	0.4245507458
119	0.4240386855
120	0.4233498667
121	0.4228816906
122	0.4223918187
123	0.4219319154
124	0.4214544687
125	0.4209794769
126	0.4205337389
127	0.4203260576
128	0.4197976399
129	0.4194593136
130	0.4189698327
131	0.4186545343
132	0.4183006048
133	0.4178931419
134	0.4174064893
135	0.41726029
136	0.4168787692
137	0.4165414194
138	0.4161206502
139	0.4154116058
140	0.4151825573
141	0.414753316
142	0.4143025583
143	0.413867839
144	0.4134760314
145	0.4131372321
146	0.4126708853
147	0.4124161465
148	0.412063554
149	0.4116655091
150	0.4114323339
151	0.411040536
152	0.4108190725
153	0.4104374719
154	0.4100387873
155	0.4097774081
156	0.4093814839
157	0.4087613909
158	0.4083149872
159	0.4078928098
160	0.4076775119
161	0.4073534191
162	0.4070982453
163	0.4068468324
164	0.4064852161
165	0.4062305083
166	0.4056436816
167	0.4053199924
168	0.4048056383
169	0.4043865394
170	0.4041243858
171	0.4037846567
172	0.4035000674
173	0.4030569213
174	0.4028109602
175	0.4026146579
176	0.4020969661
177	0.401813748
178	0.4016580514
179	0.4014515005
180	0.4011113747
181	0.4006720282
182	0.4004169945
183	0.4001690713
184	0.3999572722
185	0.3996731327
186	0.399313412
187	0.3989649831
188	0.3984098786
189	0.3979940856
190	0.397670846
191	0.3973334277
192	0.3970642913
193	0.3967437433
194	0.3963045869
195	0.3959251284
196	0.3955314776
197	0.3952651839
198	0.3949984971
199	0.3946084245
200	0.3942614299
201	0.3940435545
202	0.3936965408
203	0.393336469
204	0.3931361146
205	0.3928955016
206	0.392652417
207	0.3924519361
208	0.3922507862
209	0.3919664426
210	0.3917012293
211	0.3916023009
212	0.3911820894
213	0.3906883804
214	0.3904485256
215	0.3900016657
216	0.3898313258
217	0.3895971108
218	0.3893832227
219	0.3890799493
220	0.3889442091
221	0.3886436631
222	0.3884586627
223	0.3882543275
224	0.3881212952
225	0.3875455706
226	0.3873837853
227	0.3871307821
228	0.3869063012
229	0.3865447198
230	0.3863333017
231	0.3861051804
232	0.3857289109
233	0.3855731709
234	0.3853195859
235	0.384977138
236	0.3847359265
237	0.3843711711
238	0.3842230904
239	0.3839556002
240	0.3837664111
241	0.3836828165
242	0.3834849837
243	0.383077376
244	0.3827855478
245	0.3826390808
246	0.3825335094
247	0.382373045
248	0.3822550258
249	0.3820020718
250	0.3817809699
251	0.3815663807
252	0.381100886
253	0.3809022461
254	0.3807207079
255	0.3805072427
256	0.3802826408
257	0.379956953
258	0.3796272959
259	0.3795367453
260	0.3794031109
261	0.3787985718
262	0.3785598195
263	0.378451384
264	0.3780831984
265	0.377809121
266	0.3774343663
267	0.3771906941
268	0.3768860389
269	0.3766727844
270	0.376325801
271	0.3759556587
272	0.3756720418
273	0.3753991873
274	0.3751989764
275	0.3749338226
276	0.374762144
277	0.3746348622
278	0.3743717221
279	0.3741390083
280	0.374027501
281	0.3738416791
282	0.3737246247
283	0.373388986
284	0.3729713562
285	0.372775568
286	0.3725466974
287	0.372108589
288	0.3720124233
289	0.3718187166
290	0.3715639704
291	0.3712970817
292	0.3709158311
293	0.3707853927
294	0.3705477138
295	0.3701942142
296	0.3700482517
297	0.3696134445
298	0.3694629532
299	0.3692102968
300	0.36904246
301	0.368910282
302	0.3687478033
303	0.3685505699
304	0.3683505347
305	0.3682878502
306	0.3679940338
307	0.3677099233
308	0.3676141358
309	0.3674244511
310	0.3669374804
311	0.3667039133
312	0.3664195746
313	0.3662909136
314	0.3661312848
315	0.3658982963
316	0.3657135436
317	0.3655368645
318	0.3652737043
319	0.3650147293
320	0.3648896391
321	0.3647079029
322	0.364544341
323	0.3643023572
324	0.3641333388
325	0.3638111451
326	0.3636228435
327	0.3634974529
328	0.3632837084
329	0.3631703844
330	0.3630326842
331	0.3627546563
332	0.3625429975
333	0.3622406038
334	0.3620146121
335	0.3618231627
336	0.3617647188
337	0.3614171361
338	0.3612443771
339	0.3611110768
340	0.3608306826
341	0.360545889
342	0.3604079534
343	0.3602068941
344	0.3599205098
345	0.359599725
346	0.3594759507
347	0.3592480253
348	0.3591025614
349	0.3590011247
350	0.3588062993
351	0.3586262006
352	0.3584813819
353	0.3582345191
354	0.35810689
355	0.3578304145
356	0.3576814679
357	0.3575607937
358	0.3574224604
359	0.3571655803
360	0.3569026729
361	0.3567233883
362	0.3565543162
363	0.3563975825
364	0.3561988499
365	0.3560269293
366	0.3558828426
367	0.3556422079
368	0.3554679995
369	0.3552338487
370	0.3550971197
371	0.3550210156
372	0.3548563245
373	0.3546788763
374	0.3544385927
375	0.3541775895
376	0.3539637487
377	0.3538378178
378	0.3536440053
379	0.3534083887
380	0.3531757789
381	0.3529235305
382	0.3528024287
383	0.352550223
384	0.3524172671
385	0.3523463819
386	0.3521687245
387	0.3518362136
388	0.3516221097
389	0.3514637824
390	0.3512117041
391	0.3509192664
392	0.3507631468
393	0.3505832616
394	0.3504874092
395	0.350341924
396	0.3501212036
397	0.3500619722
398	0.3498693751
399	0.3496734929
400	0.3495755916
401	0.3493111259
402	0.3490820919
403	0.3489227757
404	0.3487135375
405	0.3485262869
406	0.3484462627
407	0.3483508048
408	0.3480709459
409	0.3478648312
410	0.347634935
411	0.3474698487
412	0.3473004427
413	0.3470849209
414	0.3468352998
415	0.3465816463
416	0.3464248941
417	0.3462796346
418	0.345864029
419	0.345731288
420	0.3454671298
421	0.3451873365
422	0.3449039653
423	0.344715516
424	0.3446716249
425	0.3444628838
426	0.3443167826
427	0.3441398513
428	0.3438331376
429	0.3436142742
430	0.3433957737
431	0.3432532817
432	0.3431324097
433	0.3430246482
434	0.3427337506
435	0.3424573626
436	0.342265426
437	0.3420727382
438	0.3419083003
439	0.3418354522
440	0.3415843618
441	0.3414409026
442	0.341350388
443	0.3411482368
444	0.3407823854
445	0.3406479886
446	0.3404340501
447	0.340134115
448	0.3399472948
449	0.3397642913
450	0.3395739981
451	0.3394569383
452	0.3392901398
453	0.3392399807
454	0.3390263641
455	0.3387641796
456	0.3384056784
457	0.3382706038
458	0.3379714815
459	0.3377353392
460	0.3375166518
461	0.3374565285
462	0.3372611051
463	0.3370457292
464	0.3368501818
465	0.3367088001
466	0.3364668474
467	0.3362716036
468	0.3361061755
469	0.3359808911
470	0.3358704869
471	0.3357560755
472	0.3356221963
473	0.3354326219
474	0.3353279581
475	0.3351588761
476	0.3349699905
477	0.3348753886
478	0.3346102039
479	0.3344621603
480	0.3343369116
481	0.3342899981
482	0.3341549856
483	0.3339009453
484	0.3336165288
485	0.333549978
486	0.3333155056
487	0.3330931585
488	0.3328239987
489	0.3327093426
490	0.3325345116
491	0.3323217424
492	0.3321488486
493	0.3318976853
494	0.3318614202
495	0.3317610253
496	0.3316727521
497	0.3314604308
498	0.3311449078
499	0.3310622556
500	0.330912164
501	0.3307278953
502	0.33058815
503	0.3303490243
504	0.3301625791
505	0.3300271317
506	0.3298458862
507	0.3297841443
508	0.3294812811
509	0.3292236711
510	0.3291054622
511	0.3289748534
512	0.3288022274
513	0.3285772712
514	0.3283497869
515	0.3282268741
516	0.3279677182
517	0.3278792369
518	0.3277042912
519	0.3276321346
520	0.3275203836
521	0.3274174741
522	0.3273145304
523	0.3272914331
524	0.3272005173
525	0.3271521562
526	0.3268920622
527	0.3267096532
528	0.3265469719
529	0.3264240692
530	0.3263101943
531	0.3259840039
532	0.3258164786
533	0.3255773546
534	0.3254587427
535	0.3253360785
536	0.3252809855
537	0.3250669014
538	0.3249100423
539	0.3248295118
540	0.3246829004
541	0.3245686353
542	0.3243915974
543	0.3242884857
544	0.3241851842
545	0.324048083
546	0.323946902
547	0.3237542626
548	0.3237251142
549	0.3236104584
550	0.3233340764
551	0.3230984031
552	0.3229973997
553	0.3228505907
554	0.3226739894
555	0.3224693671
556	0.3222820059
557	0.3221886858
558	0.3220457059
559	0.3219390915
560	0.3218120514
561	0.3215812224
562	0.3214426439
563	0.3213301842
564	0.3212225264
565	0.3210776295
566	0.3208929428
567	0.3207355266
568	0.3206206309
569	0.3203493106
570	0.3202771662
571	0.3201283482
572	0.3199452892
573	0.319777699
574	0.3195998745
575	0.3195513237
576	0.3194409714
577	0.3193027539
578	0.319115551
579	0.3189089526
580	0.3188254885
581	0.3187932769
582	0.3187512865
583	0.3185705861
584	0.3184566618
585	0.318293811
586	0.3181907558
587	0.3181185807
588	0.3180230912
589	0.3179563603
590	0.3178399755
591	0.3175895413
592	0.3175134447
593	0.3174018596
594	0.3171710485
595	0.3169560717
596	0.3167496531
597	0.3165131282
598	0.3164462924
599	0.3163204608
600	0.3160785784
601	0.3158922303
602	0.315794788
603	0.3156696889
604	0.315541505
605	0.3154561257
606	0.3153373735
607	0.3151179841
608	0.3149577083
609	0.3148993805
610	0.3147836807
611	0.314530132
612	0.3143658904
613	0.3142036449
614	0.3140586265
615	0.313906475
616	0.3138045838
617	0.3136574691
618	0.3135602556
619	0.3135088303
620	0.3133681286
621	0.3132729387
622	0.3130328145
623	0.3129808331
624	0.3128758289
625	0.3127276546
626	0.3125646894
627	0.3124308506
628	0.3123034944
629	0.3122112568
630	0.3120474447
631	0.3117263539
632	0.3116845159
633	0.3115529524
634	0.3114603318
635	0.3114274813
636	0.3111978921
637	0.3110412668
638	0.3108790476
639	0.3106269353
640	0.3101722774
641	0.3100118249
642	0.3099565932
643	0.3098286977
644	0.309709747
645	0.3095962601
646	0.3094448433
647	0.3091794425
648	0.3090458527
649	0.3089114072
650	0.3088640369
651	0.3087594229
652	0.3087202894
653	0.3085436699
654	0.3085135094
655	0.3083995276
656	0.3083748722
657	0.3083185612
658	0.3082218078
659	0.3081115826
660	0.3080390202
661	0.3077818414
662	0.3077082479
663	0.3075333099
664	0.3073352209
665	0.3071877479
666	0.3069925016
667	0.3067963798
668	0.3066019065
669	0.3064608266
670	0.3063504724
671	0.3061577269
672	0.3060524666
673	0.3058769993
674	0.3057336661
675	0.3056730106
676	0.305592723
677	0.3053811032
678	0.305214706
679	0.3050593634
680	0.3048853473
681	0.3046652478
682	0.3045387844
683	0.3043763743
684	0.3042293062
685	0.3041256552
686	0.3040936527
687	0.30392977
688	0.3038434497
689	0.3036836992
690	0.3035278675
691	0.303387949
692	0.3032715984
693	0.3030693529
694	0.3029750884
695	0.3027486529
696	0.3025990564
697	0.3025126405
698	0.3024181158
699	0.3022430937
700	0.3020684301
701	0.3019896811
702	0.3019192627
703	0.3018288459
704	0.301690934
705	0.3016420403
706	0.3015132074
707	0.3014379879
708	0.3013337177
709	0.3010439014
710	0.3008200634
711	0.3007499854
712	0.3006975124
713	0.3005702045
714	0.3004542547
