iter	Passed	Remaining
0	144	144064
1	149	74382
2	153	51179
3	158	39558
4	163	32509
5	165	27348
6	166	23656
7	168	20881
8	170	18727
9	171	16998
10	173	15594
11	175	14417
12	176	13420
13	178	12561
14	180	11821
15	181	11175
16	183	10602
17	185	10094
18	186	9637
19	188	9228
20	190	8860
21	191	8523
22	193	8217
23	195	7932
24	196	7671
25	198	7433
26	200	7210
27	201	7004
28	203	6811
29	205	6631
30	206	6467
31	208	6309
32	210	6159
33	211	6019
34	213	5888
35	215	5763
36	216	5646
37	218	5533
38	220	5426
39	221	5325
40	223	5229
41	225	5138
42	226	5050
43	228	4970
44	230	4894
45	232	4818
46	234	4745
47	235	4674
48	237	4605
49	238	4540
50	240	4478
51	242	4418
52	244	4360
53	245	4303
54	247	4248
55	248	4195
56	250	4145
57	252	4096
58	253	4048
59	255	4003
60	257	3959
61	258	3916
62	260	3874
63	262	3834
64	263	3795
65	265	3757
66	267	3720
67	268	3684
68	270	3648
69	272	3615
70	273	3581
71	275	3548
72	276	3517
73	278	3486
74	280	3456
75	281	3427
76	283	3398
77	285	3370
78	286	3345
79	288	3318
80	290	3292
81	291	3267
82	293	3242
83	295	3218
84	296	3194
85	298	3171
86	300	3149
87	301	3126
88	303	3105
89	304	3083
90	306	3062
91	308	3042
92	309	3021
93	311	3002
94	313	2982
95	314	2964
96	316	2945
97	318	2928
98	319	2910
99	321	2892
100	323	2875
101	324	2858
102	326	2841
103	327	2825
104	329	2809
105	331	2794
106	333	2780
107	335	2767
108	336	2752
109	338	2737
110	339	2722
111	341	2708
112	343	2694
113	344	2680
114	346	2666
115	348	2652
116	349	2639
117	351	2627
118	353	2614
119	354	2601
120	356	2588
121	358	2576
122	359	2564
123	361	2553
124	363	2541
125	364	2529
126	366	2518
127	367	2506
128	369	2495
129	371	2484
130	372	2473
131	374	2462
132	376	2451
133	377	2441
134	379	2430
135	380	2420
136	382	2410
137	384	2400
138	385	2390
139	387	2381
140	389	2371
141	390	2361
142	392	2352
143	394	2342
144	395	2333
145	397	2324
146	399	2315
147	400	2306
148	402	2298
149	403	2289
150	405	2280
151	407	2271
152	408	2262
153	410	2254
154	411	2245
155	413	2237
156	415	2229
157	416	2221
158	418	2213
159	420	2205
160	421	2197
161	423	2190
162	425	2182
163	426	2174
164	428	2167
165	429	2159
166	431	2152
167	433	2145
168	434	2137
169	436	2130
170	438	2124
171	439	2117
172	441	2110
173	443	2103
174	444	2096
175	446	2089
176	447	2082
177	449	2075
178	451	2069
